time,v_24h,obs_cover_percent
18/09/2022,93.72184658,3.703703704
19/09/2022,91.83702177,3.80787037
20/09/2022,92.03819035,4.166666667
21/09/2022,90.5180203,2.523148148
22/09/2022,97.64933939,4.606481481
23/09/2022,98.54895042,1.064814815
24/09/2022,88.74435649,4.826388889
25/09/2022,80.83017702,0
26/09/2022,91.34053568,0
27/09/2022,91.34053568,4.513888889
28/09/2022,91.34053568,3.69212963
29/09/2022,91.34053568,2.337962963
30/09/2022,91.34053568,0.532407407
01/10/2022,91.34053568,2.824074074
02/10/2022,91.34053568,0
03/10/2022,91.34053568,1.365740741
04/10/2022,91.34053568,1.365740741
05/10/2022,92.99441898,1.273148148
06/10/2022,93.43766117,1.331018519
07/10/2022,95.36727759,1.296296296
08/10/2022,93.43687914,1.354166667
09/10/2022,94.38315169,0
10/10/2022,94.97673671,1.319444444
11/10/2022,94.64209945,0.659722222
12/10/2022,93.01151612,1.365740741
13/10/2022,94.39722027,1.319444444
14/10/2022,95.0173971,1.25
15/10/2022,94.28662882,1.30787037
16/10/2022,96.03185893,1.296296296
17/10/2022,91.47564425,1.319444444
18/10/2022,92.99441898,1.25
19/10/2022,93.43766117,0
20/10/2022,95.36727759,0
21/10/2022,93.43687914,0
22/10/2022,94.38315169,0
23/10/2022,94.97673671,0
24/10/2022,94.64209945,0
25/10/2022,93.01151612,0
26/10/2022,94.39722027,0
27/10/2022,95.0173971,0
28/10/2022,94.28662882,0
29/10/2022,96.03185893,0
30/10/2022,91.47564425,0
31/10/2022,96.12281621,0
01/11/2022,96.12281621,0
02/11/2022,96.12281621,0
03/11/2022,96.12281621,1.342592593
04/11/2022,96.12281621,1.284722222
05/11/2022,96.12281621,0
06/11/2022,96.12281621,0
07/11/2022,96.12281621,0
08/11/2022,96.12281621,0.925925926
09/11/2022,96.12281621,1.342592593
10/11/2022,96.12281621,0.648148148
11/11/2022,96.12281621,0
12/11/2022,96.12281621,0
13/11/2022,96.12281621,0
14/11/2022,96.12281621,0
15/11/2022,96.12281621,0
16/11/2022,96.12281621,0
17/11/2022,96.12281621,0
18/11/2022,96.12281621,0
19/11/2022,96.12281621,0
20/11/2022,96.12281621,0
21/11/2022,96.12281621,0
22/11/2022,96.12281621,0
23/11/2022,96.12281621,0
24/11/2022,96.12281621,0
25/11/2022,96.12281621,0
26/11/2022,96.12281621,0
27/11/2022,96.12281621,0
28/11/2022,96.12281621,0
29/11/2022,96.12281621,0
30/11/2022,96.12281621,0
01/12/2022,96.12281621,0
02/12/2022,96.12281621,0
03/12/2022,96.12281621,0
04/12/2022,96.12281621,0
05/12/2022,96.12281621,0
06/12/2022,96.12281621,0
07/12/2022,96.12281621,0
08/12/2022,96.12281621,0
09/12/2022,96.12281621,0
10/12/2022,96.12281621,0
11/12/2022,96.12281621,0
12/12/2022,96.12281621,0
13/12/2022,96.12281621,0
14/12/2022,96.12281621,0
15/12/2022,96.12281621,0
16/12/2022,96.12281621,0
17/12/2022,96.12281621,0
18/12/2022,96.12281621,0
19/12/2022,96.12281621,0
20/12/2022,96.12281621,0
21/12/2022,96.12281621,0
22/12/2022,96.12281621,0
23/12/2022,96.12281621,0
24/12/2022,96.12281621,0
25/12/2022,96.12281621,0
26/12/2022,96.12281621,0
27/12/2022,96.12281621,0
28/12/2022,96.12281621,0
29/12/2022,96.12281621,0
30/12/2022,96.12281621,0
31/12/2022,96.12281621,0
01/01/2023,96.12281621,0
02/01/2023,96.12281621,0
03/01/2023,96.12281621,0
04/01/2023,96.12281621,0
05/01/2023,96.12281621,0
06/01/2023,96.12281621,0
07/01/2023,96.12281621,0
08/01/2023,96.12281621,0
09/01/2023,96.12281621,0
10/01/2023,96.12281621,0
11/01/2023,96.12281621,0
12/01/2023,96.12281621,0
13/01/2023,96.12281621,0
14/01/2023,96.12281621,0
15/01/2023,96.12281621,0
16/01/2023,96.12281621,0
17/01/2023,96.12281621,0
18/01/2023,96.12281621,0
19/01/2023,96.12281621,0
20/01/2023,96.12281621,0
21/01/2023,96.12281621,0
22/01/2023,96.12281621,0
23/01/2023,96.12281621,0
24/01/2023,96.12281621,0
25/01/2023,96.12281621,0
26/01/2023,96.12281621,0
27/01/2023,96.12281621,0
28/01/2023,96.12281621,0
29/01/2023,96.12281621,0
30/01/2023,96.12281621,0
31/01/2023,96.12281621,0
01/02/2023,96.12281621,0
